20 20 31
W 10 8 9
W 9 10 9
W 7 6 9
W 9 9 9
W 6 10 9
W 10 6 9
W 9 13 9
W 8 0 9
W 4 10 9
W 12 7 9
W 9 8 9
W 4 6 9
W 10 9 9
W 10 10 9
W 8 8 9
C 17 19 17
O 5 4 4
O 5 18 4
Z 0 15 2
T 16 0 0
G 3 10 0
M 2 3 0
J 13 17 99
G 3 9 0
G 2 9 0
M 2 4 0
G 2 8 0
M 1 4 0
M 1 3 0
M 4 3 0
M 0 3 0
M 1 5 0
M 0 4 0
M 0 6 0
G 1 8 0
M 1 2 0
M 3 2 0
M 3 5 0
M 3 6 0
M 4 2 0
M 0 2 0
M 1 4 0
J 13 16 99
M 2 3 0
M 5 6 0
M 2 1 0
M 2 5 0
M 4 4 0
M 0 5 0
M 2 2 0
M 5 5 0
M 1 1 0
M 3 3 0
M 3 4 0
M 1 5 0
M 0 1 0
M 2 7 0
M 5 2 0
M 1 6 0
M 3 1 0
M 2 5 0
M 1 2 0
M 2 0 0
M 4 5 0
G 1 9 0
G 1 7 0
M 1 3 0
M 3 0 0
M 5 3 0
M 0 0 0
M 3 6 0
